radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,"452","4","11113","2007","0","105.8534","21.0285","1000","4","1","1469563316","1701265518","0"
UMTS,"452","2","10221","66984788","6","105.86","20.2779","1000","32","1","1470397381","1703325842","0"
UMTS,"452","2","10221","67006096","254","105.8672","20.2809","1000","15","1","1470397381","1703325842","0"
GSM,"452","2","254","54142","0","106.7161","10.7716","2746","17","1","1470509249","1739443743","0"
GSM,"452","4","20506","26741","0","106.7414","10.7805","1560","49","1","1470486318","1735808510","0"
GSM,"452","4","20506","35273","0","106.6984","10.7634","1000","17","1","1472839637","1744431901","0"
UMTS,"452","4","41518","120321185","15","105.9052","20.7775","1000","19","1","1472867346","1701687736","0"
GSM,"452","4","11113","60887","0","105.8556","21.0295","1000","5","1","1474790709","1701265518","0"
GSM,"452","4","11613","13862","0","105.8409","21.006","1000","4","1","1476423354","1701265516","0"
UMTS,"452","1","13002","78720918","179","105.8371","21.035","1000","4","1","1478653478","1712468102","0"
UMTS,"452","1","13002","78719917","103","105.8397","21.0334","1000","2","1","1478610088","1712468102","0"
UMTS,"452","4","41518","120321186","18","105.9012","20.7843","1000","9","1","1479488290","1701687736","0"
GSM,"452","1","20090","32051","0","106.8075","10.7922","1000","21","1","1479544221","1747672381","0"
GSM,"452","1","20090","32152","0","106.8176","10.7923","1730","23","1","1479544221","1748032022","0"
GSM,"452","1","20090","32662","0","106.8158","10.7858","922","25","1","1479544218","1748028723","0"
GSM,"452","1","20090","32421","0","106.7973","10.7931","842","25","1","1479567924","1747670462","0"
GSM,"452","1","20090","32622","0","106.81","10.7825","1000","23","1","1479544215","1748029323","0"
GSM,"452","1","20090","32182","0","106.7921","10.7893","1412","50","1","1479567924","1735232882","0"
GSM,"452","1","20090","32053","0","106.8027","10.7918","984","50","1","1479544203","1735232222","0"
UMTS,"452","1","13002","78726338","157","105.8401","21.0381","1000","2","1","1480059254","1712468102","0"
GSM,"452","4","31231","11831","0","108.2361","16.0771","1132","2","1","1481542162","1744171741","0"
GSM,"452","4","11113","63401","0","105.8538","21.0243","1000","5","1","1482356706","1701265518","0"
GSM,"452","4","11113","12300","0","105.8539","21.025","1000","8","1","1482380833","1701265518","0"
GSM,"452","4","11113","10543","0","105.8538","21.0237","1000","11","1","1482380833","1701265518","0"
GSM,"452","4","11113","10541","0","105.8543","21.0232","1000","16","1","1482380833","1701265518","0"
GSM,"452","4","11563","14852","0","105.8032","21.0053","1000","18","1","1483496640","1701265504","0"
GSM,"452","4","11207","16299","0","105.8379","20.9686","1000","17","1","1484769865","1701265515","0"
GSM,"452","4","11605","63162","0","105.8412","20.9914","1000","10","1","1484769865","1701265516","0"
GSM,"452","4","11207","60032","0","105.8369","20.9638","1000","16","1","1484769865","1701265515","0"
GSM,"452","4","11207","16297","0","105.8391","20.9656","1000","5","1","1484769865","1701265515","0"
GSM,"452","4","11207","10443","0","105.8353","20.9612","1000","7","1","1484769865","1701265513","0"
GSM,"452","4","11613","19898","0","105.8407","20.9971","1000","30","1","1484769865","1701265516","0"
GSM,"452","4","11205","60374","0","105.8514","21.0099","1000","2","1","1484809771","1701265517","0"
GSM,"452","4","11205","1458","0","105.8517","21.0126","1000","4","1","1484809771","1701265517","0"
GSM,"452","4","11205","1457","0","105.8537","21.0143","1000","2","1","1484809771","1701265518","0"
GSM,"452","4","11205","13172","0","105.8533","21.0155","1000","4","1","1484809771","1701265519","0"
GSM,"452","4","11205","5112","0","105.851","21.0095","1000","7","1","1484809771","1701265517","0"
GSM,"452","4","11613","10691","0","105.8425","21.0077","1000","4","1","1484809777","1701265516","0"
GSM,"452","4","11205","60376","0","105.851","21.0094","1000","8","1","1484809771","1701265517","0"
GSM,"452","4","11613","5243","0","105.8454","21.0079","1000","4","1","1484809771","1701265516","0"
GSM,"452","4","11113","10542","0","105.8539","21.0231","1000","12","1","1486520358","1701265518","0"
GSM,"452","4","11113","60888","0","105.8555","21.0272","1000","14","1","1486429412","1701265518","0"
GSM,"452","4","11113","62781","0","105.8551","21.0289","1000","9","1","1486464715","1701265518","0"
UMTS,"452","4","61020","157894702","368","108.2028","16.0534","1000","5","1","1486875735","1744239661","0"
GSM,"452","4","11217","61934","0","105.7987","20.9994","1000","16","1","1487243001","1701265504","0"
GSM,"452","4","11217","63942","0","105.8002","21.0019","1000","19","1","1487243001","1701265504","0"
GSM,"452","4","11217","63941","0","105.8001","21.002","1000","19","1","1487243007","1701265504","0"
UMTS,"452","1","55002","33595434","173","107.0905","20.8524","2263","15","1","1489926527","1703501343","0"
UMTS,"452","1","13002","78719437","138","105.8392","21.0363","1000","6","1","1490090485","1712468102","0"
GSM,"452","4","20608","65183","0","106.645","11.0599","1546","45","1","1490266523","1738381214","0"
GSM,"452","4","20608","44980","0","106.6496","11.0421","1805","36","1","1490266523","1738381212","0"
GSM,"452","4","20608","63456","0","106.647","11.0799","1763","11","1","1490266523","1738381214","0"
GSM,"452","4","20608","56415","0","106.6447","11.0672","1487","41","1","1490266523","1738381214","0"
UMTS,"452","1","55002","33595437","173","107.0914","20.8494","2589","28","1","1490500005","1703501343","0"
GSM,"452","4","11245","30613","0","105.8195","20.9693","1505","4","1","1491196333","1701265514","0"
GSM,"452","4","20603","1948","-1","106.6043","11.1373","1000","15","1","1492540200","1738381219","0"
LTE,"452","1","36002","30742796","0","108.011","16.0033","5830","27","1","1505292860","1701582242","0"
LTE,"452","1","36002","30742795","0","107.994","15.9959","1000","6","1","1505295876","1701582241","0"
LTE,"452","1","36011","30737675","0","108.2286","16.0684","2638","7","1","1505303744","1736216942","0"
LTE,"452","1","36002","30742797","0","107.99","15.9963","1000","13","1","1505290341","1701582241","0"
LTE,"452","1","62200","136265229","0","106.678","11.0011","1000","8","1","1505300486","1738381209","0"
LTE,"452","1","36011","30735115","0","108.2266","16.0733","2153","25","1","1505283123","1701618063","0"
LTE,"452","1","36011","30734605","0","108.2231","16.0701","1000","4","1","1505449311","1701618063","0"
LTE,"452","1","36011","30734348","0","108.2223","16.0521","1000","4","1","1505447091","1701349923","0"
LTE,"452","1","37902","38405900","0","108.3276","15.8782","1000","6","1","1505485408","1701349987","0"
LTE,"452","1","36011","30738444","0","108.2257","16.0603","1705","8","1","1505478028","1701618063","0"
LTE,"452","1","36011","30725133","0","108.2175","16.0863","1000","4","1","1505471089","1701425882","0"
LTE,"452","2","1140","28225548","0","105.8101","21.0229","1000","5","1","1505655577","1730908443","0"
LTE,"452","1","36011","30756877","0","108.2303","16.0643","2915","10","1","1505629695","1701425882","0"
LTE,"452","1","37902","38407181","0","108.3277","15.876","1644","13","1","1505646198","1701349988","0"
LTE,"452","1","36003","30749451","0","108.2469","16.0533","1819","18","1","1505605169","1701349990","0"
LTE,"452","1","36003","30750221","0","108.2553","16.0276","1000","4","1","1505626659","1701349990","0"
LTE,"452","1","37902","38409227","0","108.3262","15.8772","1000","17","1","1505644132","1701349987","0"
LTE,"452","1","36003","30749452","0","108.2488","16.047","1000","8","1","1505656696","1701349990","0"
LTE,"452","1","36011","30760715","0","108.2369","16.0603","1324","19","1","1505610875","1701349991","0"
LTE,"452","2","1138","28406285","0","105.8023","21.0036","1000","4","1","1505646367","1743678487","0"
LTE,"452","1","36003","30750220","0","108.2557","16.025","1000","9","1","1505636367","1701349990","0"
LTE,"452","1","37902","38406668","0","108.3249","15.8798","1000","37","1","1505654366","1701349988","0"
LTE,"452","1","36003","30748940","0","108.2601","16.0006","1000","11","1","1505621651","1701349990","0"
LTE,"452","2","1133","28173581","0","105.8151","21.0189","1000","3","1","1505654630","1726744383","0"
LTE,"452","1","36003","30749963","0","108.2638","16.0702","3597","2","1","1505618113","1701255123","0"
LTE,"452","1","36011","30727692","0","108.2234","16.0784","1000","9","1","1505819299","1701618063","0"
